contract_id,software_id,contract_start_date,contract_end_date,annual_cost,support_level,sla_response_hours,contract_status
CON000001,SW00001,2025-01-01,2025-12-31,15000,Premium,8,Active
CON000002,SW00002,2025-02-01,2026-01-31,42000,24x7,1,Active
CON000003,SW00003,2025-03-01,2026-02-28,28000,Enterprise,2,Active
CON000004,SW00004,2024-06-01,2025-05-31,12000,Standard,24,Expired
CON000005,SW00005,2025-04-01,2026-03-31,18000,Premium,8,Active
CON000006,SW00006,2025-05-01,2026-04-30,36000,Enterprise,4,Active
CON000007,SW00007,2025-01-15,2026-01-14,55000,24x7,1,Active
CON000008,SW00008,2024-09-01,2025-08-31,31000,Enterprise,2,Pending Renewal
CON000009,SW00009,2025-06-01,2026-05-31,9000,Standard,24,Active
CON000010,SW00010,2025-07-01,2026-06-30,22000,Premium,8,Active
